date	SPY	TSLA	NFLX	AAPL	T	META
8/29/25	645.05	333.87	1208.25	232.14	29.29	738.70
7/31/25	632.08	308.27	1159.40	207.57	27.41	773.44
6/30/25	617.85	317.66	1339.13	205.17	28.94	738.09
5/30/25	589.39	346.46	1207.23	200.85	27.80	647.49
4/30/25	554.54	282.16	1131.72	212.50	27.70	549.00
3/31/25	559.39	259.16	932.53	222.13	28.28	576.36
2/28/25	594.18	292.98	980.56	241.84	27.41	668.20
1/31/25	601.82	404.60	976.76	236.00	23.73	689.18
12/31/24	586.08	403.84	891.32	250.42	22.77	585.51
11/29/24	602.55	345.16	886.81	237.33	23.16	574.32
10/31/24	568.64	249.85	756.03	225.91	22.54	567.58
9/30/24	573.76	261.63	709.27	233.00	22.00	572.44
8/30/24	563.68	214.11	701.35	229.00	19.90	521.31
7/31/24	550.81	232.07	628.35	222.08	19.25	474.83
6/28/24	544.22	197.88	674.88	210.62	19.11	504.22
5/31/24	527.37	178.08	641.62	192.25	18.22	466.83
4/30/24	501.98	183.28	550.64	170.33	16.89	430.17
3/28/24	523.07	175.79	607.33	171.48	17.60	485.58
2/29/24	508.08	201.88	602.92	180.75	16.93	490.13
1/31/24	482.88	187.29	564.11	184.40	17.69	390.14
12/29/23	475.31	248.48	486.88	192.53	16.78	353.96
11/30/23	456.4	240.08	473.97	189.95	16.57	327.15
10/31/23	418.2	200.84	411.69	170.77	15.40	301.27
9/29/23	427.48	250.22	377.60	171.21	15.02	300.21
