date	SPY	TSLA	NFLX	AAPL	T	META
2025-08-29	645.05	333.87	1208.25	232.14	29.29	738.7
2025-07-31	632.08	308.27	1159.4	207.57	27.41	773.44
2025-06-30	617.85	317.66	1339.13	205.17	28.94	738.09
2025-05-30	589.39	346.46	1207.23	200.85	27.8	647.49
2025-04-30	554.54	282.16	1131.72	212.5	27.7	549.0
2025-03-31	559.39	259.16	932.53	222.13	28.28	576.36
2025-02-28	594.18	292.98	980.56	241.84	27.41	668.2
2025-01-31	601.82	404.6	976.76	236.0	23.73	689.18
2024-12-31	586.08	403.84	891.32	250.42	22.77	585.51
2024-11-29	602.55	345.16	886.81	237.33	23.16	574.32
2024-10-31	568.64	249.85	756.03	225.91	22.54	567.58
2024-09-30	573.76	261.63	709.27	233.0	22.0	572.44
2024-08-30	563.68	214.11	701.35	229.0	19.9	521.31
2024-07-31	550.81	232.07	628.35	222.08	19.25	474.83
2024-06-28	544.22	197.88	674.88	210.62	19.11	504.22
2024-05-31	527.37	178.08	641.62	192.25	18.22	466.83
2024-04-30	501.98	183.28	550.64	170.33	16.89	430.17
2024-03-28	523.07	175.79	607.33	171.48	17.6	485.58
2024-02-29	508.08	201.88	602.92	180.75	16.93	490.13
2024-01-31	482.88	187.29	564.11	184.4	17.69	390.14
2023-12-29	475.31	248.48	486.88	192.53	16.78	353.96
2023-11-30	456.4	240.08	473.97	189.95	16.57	327.15
2023-10-31	418.2	200.84	411.69	170.77	15.4	301.27
2023-09-29	427.48	250.22	377.6	171.21	15.02	300.21
